account_type,media_type,content_category,traffic_source,follower_count,hashtags_count,caption_length,has_cta,is_weekend,post_hour,likes,comments,shares,saves,normalized_engagement,is_viral
brand,reel,technology,home feed,3551,7,100,1,0,6,194,5,7,34,0.08251196845958884,0
creator,image,fitness,hashtags,31095,5,122,1,0,15,449,10,21,68,0.021482553465187328,0
brand,reel,beauty,reels feed,8167,8,115,0,0,16,114,2,1,22,0.02020325700991796,0
creator,carousel,music,external,9044,7,115,0,0,3,91,0,7,0,0.01238390092879257,0
creator,reel,technology,profile,15986,9,112,0,0,9,154,8,5,21,0.014199924934317527,0
brand,carousel,photography,reels feed,3551,5,111,1,0,8,149,3,4,23,0.05998310335116869,0
creator,carousel,food,explore,3447,8,132,1,0,9,371,9,14,54,0.1563678561067595,1
brand,reel,technology,profile,9044,8,118,0,0,18,18,1,0,3,0.0028748341441839896,0
brand,reel,beauty,reels feed,9044,7,112,0,0,5,132,4,7,17,0.02156125608137992,0
creator,reel,music,hashtags,4972,6,114,0,0,11,101,2,3,12,0.02775543041029767,0
creator,reel,fitness,home feed,15986,6,110,0,0,10,418,11,21,60,0.03897160015013137,0
creator,carousel,beauty,hashtags,10018,8,121,1,0,14,49,6,2,3,0.007286883609502894,0
brand,image,beauty,explore,22291,8,116,0,0,19,111,1,7,24,0.008164730160154322,0
creator,image,food,reels feed,13798,9,123,1,0,13,183,6,10,21,0.01935063052616321,0
brand,reel,lifestyle,home feed,10034,6,124,1,0,11,333,10,15,48,0.04923260912896153,0
creator,reel,music,hashtags,22291,8,123,1,0,18,271,8,13,47,0.01884168498497151,0
creator,image,travel,external,9461,8,133,0,0,20,138,1,4,18,0.01987104957192686,0
creator,carousel,beauty,home feed,13798,14,119,0,0,11,261,5,16,35,0.02819249166545876,0
creator,image,lifestyle,external,13798,4,107,0,0,6,120,9,5,24,0.014567328598347586,0
brand,carousel,travel,external,15923,2,135,0,0,4,39,0,2,7,0.0037053319098159896,0
creator,image,music,external,4542,11,115,0,0,14,303,0,12,52,0.09753412593571115,0
creator,reel,fashion,reels feed,9696,12,129,0,0,15,444,17,24,63,0.06971947194719472,0
creator,carousel,photography,home feed,8167,6,103,0,0,10,1946,52,96,264,0.35092445206318107,1
creator,image,lifestyle,profile,8167,8,111,1,0,19,78,2,2,11,0.013468838006611975,0
creator,carousel,comedy,profile,3447,8,109,1,0,16,68,2,2,7,0.026689875253843923,0
brand,carousel,fashion,hashtags,13798,10,128,0,0,5,392,9,27,51,0.04297724307870706,0
creator,carousel,photography,reels feed,31095,4,133,0,0,19,843,24,42,117,0.0402315484804631,0
creator,carousel,food,profile,10018,6,117,0,0,21,170,5,8,29,0.026152924735476143,0
creator,reel,technology,explore,10739,13,118,1,0,5,76,2,3,3,0.008846261290622963,0
creator,carousel,fitness,external,3447,12,147,1,0,11,0,5,18,52,0.04873803307223673,0
creator,reel,comedy,home feed,3551,5,106,0,0,19,65,0,10,11,0.03294846522106449,0
creator,image,food,profile,6916,4,101,1,0,7,253,0,16,36,0.053932909196067094,0
creator,reel,music,home feed,3551,8,126,0,0,19,56,4,2,10,0.025344973246972685,0
creator,carousel,food,explore,7486,9,123,1,0,4,836,21,40,132,0.16858135185679937,1
creator,image,technology,external,4972,6,95,1,0,20,104,3,5,17,0.03197908286403862,0
brand,reel,music,explore,3083,8,116,0,0,10,607,22,31,78,0.2919234511839118,1
creator,reel,comedy,reels feed,7486,5,114,0,0,1,0,6,14,42,0.018434410900347316,0
creator,carousel,technology,reels feed,6916,6,110,0,0,7,12,0,0,2,0.002313475997686524,0
creator,image,travel,external,22291,9,130,1,0,7,927,21,47,151,0.06334395047328518,0
brand,image,fitness,hashtags,31095,7,111,0,0,7,197,0,7,36,0.009326258240874739,0
brand,image,comedy,external,8167,10,142,1,0,16,332,9,13,44,0.058405779355944654,0
creator,image,travel,explore,3551,10,124,1,0,6,162,2,4,25,0.06420726555899746,0
creator,reel,photography,reels feed,13798,10,125,0,0,2,36,1,2,10,0.0046383533845484855,0
brand,carousel,comedy,reels feed,15986,2,93,1,0,0,182,10,11,18,0.016952333291630175,0
